mesh,group,ranking,top_k,local_cell_count,local_budget_fraction,tomo_best_vss,local_best_ratio
Group_E5_55280,E,tuned,5,2142,0.016436337965485225,35028.122673349935,1.2870188978548303
Group_E5_55280,E,tuned,10,4306,0.03304148985965424,35028.122673349935,1.236077323980503
Group_E5_55280,E,tuned,20,7065,0.05421229118868026,35028.122673349935,1.236077323980503
Group_E5_55280,E,rtilde,5,2100,0.016114056828907083,35028.122673349935,1.2867860146311416
Group_E5_55280,E,rtilde,10,3841,0.02947337727611053,35028.122673349935,1.2289629102527682
Group_E5_55280,E,rtilde,20,6831,0.05241672485631633,35028.122673349935,1.2289629102527682
Group_E7_61384,E,tuned,5,1454,0.011157066013919475,987.2800062510593,2.0549390511325845
Group_E7_61384,E,tuned,10,2066,0.015853162575486683,987.2800062510593,2.0549390511325845
Group_E7_61384,E,tuned,20,3349,0.025698083961909438,987.2800062510593,1.1631958252108923
Group_E7_61384,E,rtilde,5,1421,0.010903845120893794,987.2800062510593,2.1644519242139464
Group_E7_61384,E,rtilde,10,1947,0.014940032688515282,987.2800062510593,1.7796776153927136
Group_E7_61384,E,rtilde,20,2915,0.022367845550601975,987.2800062510593,1.490924778255492
Group_E9_82675,E,tuned,5,1270,0.009745167701291427,8430.707963528619,5.676225147316883
Group_E9_82675,E,tuned,10,1825,0.014003882720359727,8430.707963528619,5.676225147316883
Group_E9_82675,E,tuned,20,2379,0.01825492437903331,8430.707963528619,5.676225147316883
Group_E9_82675,E,rtilde,5,1089,0.00835628946984753,8430.707963528619,5.676225147316883
Group_E9_82675,E,rtilde,10,1547,0.011870688530628217,8430.707963528619,5.676225147316883
Group_E9_82675,E,rtilde,20,2096,0.01608336338732821,8430.707963528619,5.676225147316883
