stem,family,group_id,angle_step,critical_angle,grid_path,candidate_path,has_candidate,candidate_count,tomo_best_vss,usable,skip_reason
Group_D8_37402,D,D8,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,True,1292,46794.103196829805,True,usable
Group_D8_37402,D,D8,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,True,1292,33703.614857571185,True,usable
Group_D8_37402,D,D8,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,True,1292,17030.422352562266,True,usable
Group_D8_37402,D,D8,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D8_37402_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D8_37402_candidates.csv,True,1292,6918.826379066656,True,usable
Group_D9_37415,D,D9,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,True,1292,60852.917757901276,True,usable
Group_D9_37415,D,D9,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,True,1292,40102.19810422787,True,usable
Group_D9_37415,D,D9,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,True,1292,25432.10195115775,True,usable
Group_D9_37415,D,D9,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D9_37415_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D9_37415_candidates.csv,True,1292,11401.427678825441,True,usable
Group_E10_65942,E,E10,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E10_65942_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E10_65942_candidates.csv,True,1292,63329.99221549546,True,usable
Group_E10_65942,E,E10,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E10_65942_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E10_65942_candidates.csv,True,1292,19956.567070700905,True,usable
Group_E10_65942,E,E10,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_E10_65942_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_E10_65942_candidates.csv,True,1292,4784.303263199231,True,usable
Group_E10_65942,E,E10,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_E10_65942_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_E10_65942_candidates.csv,True,1292,-1289.6189019699727,False,nonpositive_tomo_best
