mesh,coarse_count,top_k,window_degrees,candidate_pool_size,elapsed_sec,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,pool_oracle_vss,pool_oracle_ratio,pool_hard_case,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_cell_count,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,local_hard_case
Group_C5_lucy_50k.ply,512,20,10.0,1292,1.823719300009543,181.99999368096277,358.99998836115276,5036.138305979327,5133.821944559902,1.0193965361246327,False,6,357.99999402514953,181.99999368096277,13939.90083174272,2.7679741867279732,3848,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,1024,3,10.0,1804,2.2470065000088653,181.99999368096277,358.99998836115276,5036.138305979327,5133.821944559902,1.0193965361246327,False,3,173.99999801180195,356.9999996891463,18414.166348039613,3.656406005803448,1027,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,1024,10,10.0,1804,2.2470065000088653,181.99999368096277,358.99998836115276,5036.138305979327,5133.821944559902,1.0193965361246327,False,10,360.00001001791264,181.99999368096277,6522.889964836688,1.2952166061627346,2602,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,1024,20,10.0,1804,2.2470065000088653,181.99999368096277,358.99998836115276,5036.138305979327,5133.821944559902,1.0193965361246327,False,10,360.00001001791264,181.99999368096277,6522.889964836688,1.2952166061627346,3647,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,2048,3,10.0,2828,3.5886507000104757,181.99999368096277,358.99998836115276,5036.138305979327,5231.304109589128,1.0387530666856555,False,2,356.9999996891463,173.00000367579872,17856.706272472034,3.5457140347537814,986,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,2048,10,10.0,2828,3.5886507000104757,181.99999368096277,358.99998836115276,5036.138305979327,5231.304109589128,1.0387530666856555,False,10,360.00001001791264,183.99999601334758,5613.8004153228,1.1147033846663075,2278,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,2048,20,10.0,2828,3.5886507000104757,181.99999368096277,358.99998836115276,5036.138305979327,5231.304109589128,1.0387530666856555,False,10,360.00001001791264,183.99999601334758,5613.8004153228,1.1147033846663075,3652,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,4096,3,10.0,4876,6.117632100009359,181.99999368096277,358.99998836115276,5036.138305979327,6522.889964836688,1.2952166061627346,False,1,355.00001101713985,0.9999999922536332,28055.58117953214,5.570852005041679,987,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,4096,10,10.0,4876,6.117632100009359,181.99999368096277,358.99998836115276,5036.138305979327,6522.889964836688,1.2952166061627346,False,9,178.00000267657154,3.999999969014533,16725.6110955861,3.321118301244437,2180,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
Group_C5_lucy_50k.ply,4096,20,10.0,4876,6.117632100009359,181.99999368096277,358.99998836115276,5036.138305979327,6522.889964836688,1.2952166061627346,False,19,178.99999701257477,352.0000006883735,14671.088250215389,2.9131622999306113,3960,181.99999368096277,358.99998836115276,5036.138305979327,1.0,False
